,file_name,label
0,0.png,9
1,1.png,0
2,2.png,0
3,3.png,3
4,4.png,0
5,5.png,2
6,6.png,7
7,7.png,2
8,8.png,5
9,9.png,5
10,10.png,0
11,11.png,9
12,12.png,5
13,13.png,5
14,14.png,7
15,15.png,9
16,16.png,1
17,17.png,0
18,18.png,6
19,19.png,4
20,20.png,3
21,21.png,1
22,22.png,4
23,23.png,8
24,24.png,4
25,25.png,3
26,26.png,0
27,27.png,2
28,28.png,4
29,29.png,4
30,30.png,5
31,31.png,3
32,32.png,6
33,33.png,6
34,34.png,0
35,35.png,8
36,36.png,5
37,37.png,2
38,38.png,1
39,39.png,6
40,40.png,6
41,41.png,7
42,42.png,9
43,43.png,5
44,44.png,9
45,45.png,2
46,46.png,7
47,47.png,3
48,48.png,0
49,49.png,3
50,50.png,3
51,51.png,3
52,52.png,7
53,53.png,2
54,54.png,2
55,55.png,6
56,56.png,6
57,57.png,8
58,58.png,3
59,59.png,3
60,60.png,5
61,61.png,0
62,62.png,5
63,63.png,5
64,64.png,0
65,65.png,2
66,66.png,0
67,67.png,0
68,68.png,4
69,69.png,1
70,70.png,3
71,71.png,1
72,72.png,6
73,73.png,3
74,74.png,1
75,75.png,4
76,76.png,4
77,77.png,6
78,78.png,1
79,79.png,9
80,80.png,1
81,81.png,3
82,82.png,5
83,83.png,7
84,84.png,9
85,85.png,7
86,86.png,1
87,87.png,7
88,88.png,9
89,89.png,9
90,90.png,9
91,91.png,3
92,92.png,2
93,93.png,9
94,94.png,3
95,95.png,6
96,96.png,4
97,97.png,1
98,98.png,1
99,99.png,8
100,100.png,8
101,101.png,0
102,102.png,1
103,103.png,1
104,104.png,6
105,105.png,8
106,106.png,1
107,107.png,9
108,108.png,7
109,109.png,8
110,110.png,8
111,111.png,9
112,112.png,6
113,113.png,6
114,114.png,3
115,115.png,1
116,116.png,5
117,117.png,4
118,118.png,6
119,119.png,7
120,120.png,5
121,121.png,5
122,122.png,9
123,123.png,2
124,124.png,2
125,125.png,2
126,126.png,7
127,127.png,6
128,128.png,4
129,129.png,1
130,130.png,8
131,131.png,7
132,132.png,7
133,133.png,5
134,134.png,4
135,135.png,2
136,136.png,9
137,137.png,1
138,138.png,7
139,139.png,4
140,140.png,6
141,141.png,9
142,142.png,7
143,143.png,1
144,144.png,8
145,145.png,7
146,146.png,1
147,147.png,2
148,148.png,8
149,149.png,0
150,150.png,9
151,151.png,1
152,152.png,8
153,153.png,7
154,154.png,0
155,155.png,5
156,156.png,8
157,157.png,6
158,158.png,7
159,159.png,2
160,160.png,0
161,161.png,8
162,162.png,7
163,163.png,1
164,164.png,6
165,165.png,2
166,166.png,1
167,167.png,9
168,168.png,6
169,169.png,0
170,170.png,1
171,171.png,0
172,172.png,5
173,173.png,5
174,174.png,1
175,175.png,7
176,176.png,0
177,177.png,5
178,178.png,8
179,179.png,4
180,180.png,0
181,181.png,4
182,182.png,0
183,183.png,6
184,184.png,6
185,185.png,4
186,186.png,0
187,187.png,0
188,188.png,4
189,189.png,7
190,190.png,3
191,191.png,0
192,192.png,5
193,193.png,8
194,194.png,4
195,195.png,1
196,196.png,1
197,197.png,2
198,198.png,9
199,199.png,2
200,200.png,8
201,201.png,5
202,202.png,0
203,203.png,6
204,204.png,3
205,205.png,4
206,206.png,6
207,207.png,0
208,208.png,9
209,209.png,1
210,210.png,7
211,211.png,3
212,212.png,8
213,213.png,5
214,214.png,8
215,215.png,3
216,216.png,8
217,217.png,5
218,218.png,2
219,219.png,0
220,220.png,8
221,221.png,7
222,222.png,0
223,223.png,3
224,224.png,5
225,225.png,0
226,226.png,6
227,227.png,5
228,228.png,2
229,229.png,7
230,230.png,5
231,231.png,2
232,232.png,6
233,233.png,8
234,234.png,2
235,235.png,6
236,236.png,8
237,237.png,0
238,238.png,4
239,239.png,4
240,240.png,4
241,241.png,4
242,242.png,4
243,243.png,1
244,244.png,5
245,245.png,6
246,246.png,5
247,247.png,3
248,248.png,3
249,249.png,7
250,250.png,3
251,251.png,3
252,252.png,6
253,253.png,2
254,254.png,8
255,255.png,4
256,256.png,6
257,257.png,5
258,258.png,9
259,259.png,3
260,260.png,2
261,261.png,3
262,262.png,2
263,263.png,4
264,264.png,4
265,265.png,8
266,266.png,2
267,267.png,5
268,268.png,3
269,269.png,0
270,270.png,7
271,271.png,2
272,272.png,0
273,273.png,2
274,274.png,5
275,275.png,7
276,276.png,2
277,277.png,3
278,278.png,1
279,279.png,7
280,280.png,6
281,281.png,2
282,282.png,9
283,283.png,1
284,284.png,9
285,285.png,1
286,286.png,1
287,287.png,8
288,288.png,7
289,289.png,8
290,290.png,4
291,291.png,2
292,292.png,6
293,293.png,6
294,294.png,7
295,295.png,9
296,296.png,4
297,297.png,6
298,298.png,1
299,299.png,9
300,300.png,5
301,301.png,6
302,302.png,0
303,303.png,5
304,304.png,0
305,305.png,1
306,306.png,6
307,307.png,1
308,308.png,1
309,309.png,6
310,310.png,7
311,311.png,4
312,312.png,4
313,313.png,8
314,314.png,6
315,315.png,4
316,316.png,6
317,317.png,9
318,318.png,3
319,319.png,7
320,320.png,5
321,321.png,0
322,322.png,8
323,323.png,3
324,324.png,4
325,325.png,0
326,326.png,3
327,327.png,3
328,328.png,2
329,329.png,0
330,330.png,1
331,331.png,0
332,332.png,3
333,333.png,8
334,334.png,3
335,335.png,9
336,336.png,1
337,337.png,9
338,338.png,0
339,339.png,4
340,340.png,7
341,341.png,7
342,342.png,8
343,343.png,5
344,344.png,6
345,345.png,5
346,346.png,6
347,347.png,8
348,348.png,2
349,349.png,5
350,350.png,2
351,351.png,3
352,352.png,1
353,353.png,6
354,354.png,0
355,355.png,7
356,356.png,8
357,357.png,7
358,358.png,8
359,359.png,1
360,360.png,9
361,361.png,6
362,362.png,4
363,363.png,5
364,364.png,7
365,365.png,1
366,366.png,7
367,367.png,6
368,368.png,6
369,369.png,7
370,370.png,3
371,371.png,5
372,372.png,8
373,373.png,7
374,374.png,3
375,375.png,3
376,376.png,9
377,377.png,0
378,378.png,3
379,379.png,1
380,380.png,6
381,381.png,4
382,382.png,7
383,383.png,0
384,384.png,5
385,385.png,1
386,386.png,5
387,387.png,4
388,388.png,4
389,389.png,5
390,390.png,9
391,391.png,1
392,392.png,0
393,393.png,5
394,394.png,8
395,395.png,3
396,396.png,4
397,397.png,4
398,398.png,2
399,399.png,4
400,400.png,2
401,401.png,5
402,402.png,6
403,403.png,7
404,404.png,2
405,405.png,2
406,406.png,5
407,407.png,3
408,408.png,8
409,409.png,8
410,410.png,6
411,411.png,8
412,412.png,4
413,413.png,4
414,414.png,1
415,415.png,0
416,416.png,2
417,417.png,7
418,418.png,1
419,419.png,1
420,420.png,8
421,421.png,8
422,422.png,2
423,423.png,7
424,424.png,9
425,425.png,7
426,426.png,4
427,427.png,1
428,428.png,2
429,429.png,0
430,430.png,8
431,431.png,9
432,432.png,1
433,433.png,4
434,434.png,9
435,435.png,5
436,436.png,6
437,437.png,7
438,438.png,0
439,439.png,3
440,440.png,2
441,441.png,0
442,442.png,4
443,443.png,1
444,444.png,0
445,445.png,0
446,446.png,8
447,447.png,7
448,448.png,0
449,449.png,2
450,450.png,9
451,451.png,9
452,452.png,1
453,453.png,3
454,454.png,8
455,455.png,3
456,456.png,1
457,457.png,4
458,458.png,8
459,459.png,5
460,460.png,1
461,461.png,8
462,462.png,2
463,463.png,4
464,464.png,4
465,465.png,9
466,466.png,5
467,467.png,5
468,468.png,4
469,469.png,5
470,470.png,6
471,471.png,3
472,472.png,7
473,473.png,4
474,474.png,9
475,475.png,5
476,476.png,8
477,477.png,9
478,478.png,3
479,479.png,9
480,480.png,6
481,481.png,4
482,482.png,7
483,483.png,2
484,484.png,2
485,485.png,6
486,486.png,4
487,487.png,8
488,488.png,3
489,489.png,0
490,490.png,2
491,491.png,8
492,492.png,9
493,493.png,0
494,494.png,8
495,495.png,6
496,496.png,3
497,497.png,9
498,498.png,1
499,499.png,6
500,500.png,3
501,501.png,2
502,502.png,6
503,503.png,1
504,504.png,0
505,505.png,2
506,506.png,6
507,507.png,2
508,508.png,3
509,509.png,3
510,510.png,9
511,511.png,1
512,512.png,7
513,513.png,9
514,514.png,1
515,515.png,1
516,516.png,0
517,517.png,1
518,518.png,7
519,519.png,0
520,520.png,8
521,521.png,5
522,522.png,0
523,523.png,6
524,524.png,0
525,525.png,1
526,526.png,6
527,527.png,6
528,528.png,8
529,529.png,7
530,530.png,0
531,531.png,9
532,532.png,9
533,533.png,9
534,534.png,7
535,535.png,4
536,536.png,3
537,537.png,9
538,538.png,5
539,539.png,9
540,540.png,1
541,541.png,4
542,542.png,1
543,543.png,6
544,544.png,2
545,545.png,2
546,546.png,2
547,547.png,7
548,548.png,7
549,549.png,6
550,550.png,3
551,551.png,7
552,552.png,5
553,553.png,8
